Complaint ID,Complaint Text,Category
CMP00050,Suspicious transactions appeared on my credit card statement.,Technical Issue
CMP00051,Unauthorized withdrawals from my savings account.,Billing Error
CMP00052,I was charged twice for the same transaction.,Fraud
CMP00053,Suspicious transactions appeared on my credit card statement.,Account Issue
CMP00054,I was charged twice for the same transaction.,Billing Error
CMP00055,Suspicious transactions appeared on my credit card statement.,Account Issue
CMP00056,Suspicious transactions appeared on my credit card statement.,Technical Issue
CMP00057,"I need to change my mailing address, but your online form isn't working.",Technical Issue
CMP00058,The interest rate applied to my loan is incorrect.,Billing Error
CMP00059,Loan approval is delayed despite submitting all required documents.,Fraud
CMP00060,My debit card was blocked without notification.,Loan Issue
CMP00061,My credit card application was rejected without any reason.,Loan Issue
CMP00062,Loan approval is delayed despite submitting all required documents.,Loan Issue
CMP00063,Unauthorized withdrawals from my savings account.,Loan Issue
CMP00064,The interest rate applied to my loan is incorrect.,Technical Issue
CMP00065,Haven't received my refund after 30 days of waiting.,Account Issue
CMP00066,The interest rate applied to my loan is incorrect.,Fraud
CMP00067,Loan approval is delayed despite submitting all required documents.,Account Issue
CMP00068,"I need to change my mailing address, but your online form isn't working.",Fraud
CMP00069,Unauthorized withdrawals from my savings account.,Loan Issue
CMP00070,Unauthorized withdrawals from my savings account.,Loan Issue
CMP00071,I was charged twice for the same transaction.,Billing Error
CMP00072,The system keeps showing an error when I try to make a payment.,Fraud
CMP00073,My credit card application was rejected without any reason.,Loan Issue
CMP00074,I was charged twice for the same transaction.,Technical Issue
CMP00075,Loan approval is delayed despite submitting all required documents.,Fraud
CMP00076,The system keeps showing an error when I try to make a payment.,Billing Error
CMP00077,My credit card application was rejected without any reason.,Account Issue
CMP00078,My debit card was blocked without notification.,Fraud
CMP00079,My credit card application was rejected without any reason.,Fraud
CMP00080,Haven't received my refund after 30 days of waiting.,Technical Issue
CMP00081,Loan approval is delayed despite submitting all required documents.,Fraud
CMP00082,I was charged twice for the same transaction.,Account Issue
CMP00083,The system keeps showing an error when I try to make a payment.,Fraud
CMP00084,Loan approval is delayed despite submitting all required documents.,Billing Error
CMP00085,"I need to change my mailing address, but your online form isn't working.",Technical Issue
CMP00086,Haven't received my refund after 30 days of waiting.,Billing Error
CMP00087,I was charged twice for the same transaction.,Account Issue
CMP00088,Unauthorized withdrawals from my savings account.,Fraud
CMP00089,My credit card application was rejected without any reason.,Technical Issue
CMP00090,"I need to change my mailing address, but your online form isn't working.",Billing Error
CMP00091,I was charged twice for the same transaction.,Loan Issue
CMP00092,The interest rate applied to my loan is incorrect.,Loan Issue
CMP00093,My credit card application was rejected without any reason.,Billing Error
CMP00094,Loan approval is delayed despite submitting all required documents.,Technical Issue
CMP00095,The system keeps showing an error when I try to make a payment.,Account Issue
CMP00096,Loan approval is delayed despite submitting all required documents.,Billing Error
CMP00097,My credit card application was rejected without any reason.,Loan Issue
CMP00098,Loan approval is delayed despite submitting all required documents.,Billing Error
CMP00099,Loan approval is delayed despite submitting all required documents.,Billing Error
CMP00100,The interest rate applied to my loan is incorrect.,Billing Error
CMP00101,The system keeps showing an error when I try to make a payment.,Billing Error
CMP00102,Haven't received my refund after 30 days of waiting.,Fraud
CMP00103,My debit card was blocked without notification.,Technical Issue
CMP00104,Suspicious transactions appeared on my credit card statement.,Loan Issue
CMP00105,Suspicious transactions appeared on my credit card statement.,Account Issue
CMP00106,Loan approval is delayed despite submitting all required documents.,Loan Issue
CMP00107,My credit card application was rejected without any reason.,Technical Issue
CMP00108,"I need to change my mailing address, but your online form isn't working.",Loan Issue
CMP00109,Unauthorized withdrawals from my savings account.,Account Issue
CMP00110,"I need to change my mailing address, but your online form isn't working.",Fraud
CMP00111,Unauthorized withdrawals from my savings account.,Loan Issue
CMP00112,Unauthorized withdrawals from my savings account.,Billing Error
CMP00113,My debit card was blocked without notification.,Fraud
CMP00114,Unauthorized withdrawals from my savings account.,Fraud
CMP00115,Haven't received my refund after 30 days of waiting.,Fraud
CMP00116,I was charged twice for the same transaction.,Billing Error
CMP00117,"I need to change my mailing address, but your online form isn't working.",Fraud
CMP00118,My debit card was blocked without notification.,Fraud
CMP00119,The interest rate applied to my loan is incorrect.,Technical Issue
CMP00120,Suspicious transactions appeared on my credit card statement.,Account Issue
CMP00121,"I need to change my mailing address, but your online form isn't working.",Fraud
CMP00122,The interest rate applied to my loan is incorrect.,Billing Error
CMP00123,I was charged twice for the same transaction.,Account Issue
CMP00124,Unauthorized withdrawals from my savings account.,Account Issue
CMP00125,"I need to change my mailing address, but your online form isn't working.",Account Issue
CMP00126,The system keeps showing an error when I try to make a payment.,Technical Issue
CMP00127,My debit card was blocked without notification.,Loan Issue
CMP00128,Suspicious transactions appeared on my credit card statement.,Account Issue
CMP00129,The system keeps showing an error when I try to make a payment.,Billing Error
CMP00130,Suspicious transactions appeared on my credit card statement.,Billing Error
CMP00131,My credit card application was rejected without any reason.,Fraud
CMP00132,My credit card application was rejected without any reason.,Fraud
CMP00133,Loan approval is delayed despite submitting all required documents.,Technical Issue
CMP00134,Haven't received my refund after 30 days of waiting.,Fraud
CMP00135,My debit card was blocked without notification.,Technical Issue
CMP00136,The system keeps showing an error when I try to make a payment.,Loan Issue
CMP00137,Suspicious transactions appeared on my credit card statement.,Fraud
CMP00138,"I need to change my mailing address, but your online form isn't working.",Fraud
CMP00139,The interest rate applied to my loan is incorrect.,Account Issue
CMP00140,Unauthorized withdrawals from my savings account.,Technical Issue
CMP00141,Haven't received my refund after 30 days of waiting.,Billing Error
CMP00142,"I need to change my mailing address, but your online form isn't working.",Technical Issue
CMP00143,Suspicious transactions appeared on my credit card statement.,Account Issue
CMP00144,The interest rate applied to my loan is incorrect.,Account Issue
CMP00145,Loan approval is delayed despite submitting all required documents.,Loan Issue
CMP00146,My credit card application was rejected without any reason.,Billing Error
CMP00147,My debit card was blocked without notification.,Loan Issue
CMP00148,My credit card application was rejected without any reason.,Account Issue
CMP00149,Loan approval is delayed despite submitting all required documents.,Account Issue
CMP00150,Suspicious transactions appeared on my credit card statement.,Fraud
CMP00151,The system keeps showing an error when I try to make a payment.,Billing Error
CMP00152,My credit card application was rejected without any reason.,Loan Issue
CMP00153,I was charged twice for the same transaction.,Account Issue
CMP00154,My credit card application was rejected without any reason.,Account Issue
CMP00155,Loan approval is delayed despite submitting all required documents.,Technical Issue
CMP00156,Loan approval is delayed despite submitting all required documents.,Fraud
CMP00157,Suspicious transactions appeared on my credit card statement.,Technical Issue
CMP00158,"I need to change my mailing address, but your online form isn't working.",Account Issue
CMP00159,I was charged twice for the same transaction.,Loan Issue
CMP00160,"I need to change my mailing address, but your online form isn't working.",Loan Issue
CMP00161,Loan approval is delayed despite submitting all required documents.,Billing Error
CMP00162,Suspicious transactions appeared on my credit card statement.,Billing Error
CMP00163,The interest rate applied to my loan is incorrect.,Fraud
CMP00164,The interest rate applied to my loan is incorrect.,Technical Issue
CMP00165,My credit card application was rejected without any reason.,Account Issue
CMP00166,"I need to change my mailing address, but your online form isn't working.",Billing Error
CMP00167,My debit card was blocked without notification.,Billing Error
CMP00168,My debit card was blocked without notification.,Account Issue
CMP00169,I was charged twice for the same transaction.,Billing Error
CMP00170,The system keeps showing an error when I try to make a payment.,Account Issue
CMP00171,My debit card was blocked without notification.,Billing Error
CMP00172,My credit card application was rejected without any reason.,Technical Issue
CMP00173,My debit card was blocked without notification.,Account Issue
CMP00174,I was charged twice for the same transaction.,Fraud
CMP00175,Unauthorized withdrawals from my savings account.,Technical Issue
CMP00176,Suspicious transactions appeared on my credit card statement.,Technical Issue
CMP00177,The interest rate applied to my loan is incorrect.,Fraud
CMP00178,I was charged twice for the same transaction.,Loan Issue
CMP00179,The interest rate applied to my loan is incorrect.,Technical Issue
CMP00180,The system keeps showing an error when I try to make a payment.,Loan Issue
CMP00181,Suspicious transactions appeared on my credit card statement.,Technical Issue
CMP00182,My credit card application was rejected without any reason.,Fraud
CMP00183,The system keeps showing an error when I try to make a payment.,Technical Issue
CMP00184,Unauthorized withdrawals from my savings account.,Technical Issue
CMP00185,Suspicious transactions appeared on my credit card statement.,Technical Issue
CMP00186,My credit card application was rejected without any reason.,Technical Issue
CMP00187,The system keeps showing an error when I try to make a payment.,Billing Error
CMP00188,"I need to change my mailing address, but your online form isn't working.",Loan Issue
CMP00189,My debit card was blocked without notification.,Account Issue
CMP00190,"I need to change my mailing address, but your online form isn't working.",Fraud
CMP00191,Loan approval is delayed despite submitting all required documents.,Loan Issue
CMP00192,The interest rate applied to my loan is incorrect.,Account Issue
CMP00193,Haven't received my refund after 30 days of waiting.,Fraud
CMP00194,My debit card was blocked without notification.,Account Issue
CMP00195,"I need to change my mailing address, but your online form isn't working.",Technical Issue
CMP00196,The interest rate applied to my loan is incorrect.,Billing Error
CMP00197,My debit card was blocked without notification.,Technical Issue
CMP00198,Haven't received my refund after 30 days of waiting.,Billing Error
CMP00199,Unauthorized withdrawals from my savings account.,Fraud
CMP00200,Suspicious transactions appeared on my credit card statement.,Billing Error
CMP00201,Loan approval is delayed despite submitting all required documents.,Billing Error
CMP00202,My credit card application was rejected without any reason.,Technical Issue
CMP00203,"I need to change my mailing address, but your online form isn't working.",Account Issue
CMP00204,My credit card application was rejected without any reason.,Billing Error
CMP00205,Suspicious transactions appeared on my credit card statement.,Billing Error
CMP00206,I was charged twice for the same transaction.,Account Issue
CMP00207,Haven't received my refund after 30 days of waiting.,Loan Issue
CMP00208,Unauthorized withdrawals from my savings account.,Fraud
CMP00209,My credit card application was rejected without any reason.,Loan Issue
CMP00210,Suspicious transactions appeared on my credit card statement.,Billing Error
CMP00211,Haven't received my refund after 30 days of waiting.,Technical Issue
CMP00212,The interest rate applied to my loan is incorrect.,Technical Issue
CMP00213,Unauthorized withdrawals from my savings account.,Fraud
CMP00214,My credit card application was rejected without any reason.,Account Issue
CMP00215,The interest rate applied to my loan is incorrect.,Loan Issue
CMP00216,Haven't received my refund after 30 days of waiting.,Fraud
CMP00217,Suspicious transactions appeared on my credit card statement.,Fraud
CMP00218,The system keeps showing an error when I try to make a payment.,Billing Error
CMP00219,Unauthorized withdrawals from my savings account.,Technical Issue
CMP00220,Unauthorized withdrawals from my savings account.,Fraud
CMP00221,Loan approval is delayed despite submitting all required documents.,Technical Issue
CMP00222,Loan approval is delayed despite submitting all required documents.,Billing Error
CMP00223,Unauthorized withdrawals from my savings account.,Billing Error
CMP00224,The interest rate applied to my loan is incorrect.,Account Issue
CMP00225,Loan approval is delayed despite submitting all required documents.,Account Issue
CMP00226,Haven't received my refund after 30 days of waiting.,Billing Error
CMP00227,Unauthorized withdrawals from my savings account.,Account Issue
CMP00228,"I need to change my mailing address, but your online form isn't working.",Fraud
CMP00229,My debit card was blocked without notification.,Billing Error
CMP00230,"I need to change my mailing address, but your online form isn't working.",Fraud
CMP00231,I was charged twice for the same transaction.,Account Issue
CMP00232,Haven't received my refund after 30 days of waiting.,Loan Issue
CMP00233,"I need to change my mailing address, but your online form isn't working.",Account Issue
CMP00234,My debit card was blocked without notification.,Billing Error
CMP00235,I was charged twice for the same transaction.,Account Issue
CMP00236,"I need to change my mailing address, but your online form isn't working.",Technical Issue
CMP00237,My credit card application was rejected without any reason.,Fraud
CMP00238,The system keeps showing an error when I try to make a payment.,Loan Issue
CMP00239,My credit card application was rejected without any reason.,Technical Issue
CMP00240,"I need to change my mailing address, but your online form isn't working.",Technical Issue
CMP00241,The system keeps showing an error when I try to make a payment.,Loan Issue
CMP00242,I was charged twice for the same transaction.,Account Issue
CMP00243,My debit card was blocked without notification.,Fraud
CMP00244,The system keeps showing an error when I try to make a payment.,Fraud
CMP00245,"I need to change my mailing address, but your online form isn't working.",Loan Issue
CMP00246,The interest rate applied to my loan is incorrect.,Billing Error
CMP00247,"I need to change my mailing address, but your online form isn't working.",Loan Issue
CMP00248,The interest rate applied to my loan is incorrect.,Technical Issue
CMP00249,My debit card was blocked without notification.,Billing Error
CMP00250,My debit card was blocked without notification.,Account Issue
CMP00251,I was charged twice for the same transaction.,Fraud
CMP00252,Loan approval is delayed despite submitting all required documents.,Billing Error
CMP00253,Unauthorized withdrawals from my savings account.,Fraud
CMP00254,The system keeps showing an error when I try to make a payment.,Fraud
CMP00255,Loan approval is delayed despite submitting all required documents.,Technical Issue
CMP00256,Unauthorized withdrawals from my savings account.,Loan Issue
CMP00257,Haven't received my refund after 30 days of waiting.,Technical Issue
CMP00258,Haven't received my refund after 30 days of waiting.,Loan Issue
CMP00259,Haven't received my refund after 30 days of waiting.,Account Issue
CMP00260,My debit card was blocked without notification.,Technical Issue
CMP00261,My credit card application was rejected without any reason.,Loan Issue
CMP00262,Haven't received my refund after 30 days of waiting.,Technical Issue
CMP00263,The system keeps showing an error when I try to make a payment.,Billing Error
CMP00264,Unauthorized withdrawals from my savings account.,Technical Issue
CMP00265,"I need to change my mailing address, but your online form isn't working.",Technical Issue
CMP00266,My credit card application was rejected without any reason.,Billing Error
CMP00267,My debit card was blocked without notification.,Billing Error
CMP00268,My credit card application was rejected without any reason.,Fraud
CMP00269,I was charged twice for the same transaction.,Loan Issue
CMP00270,Suspicious transactions appeared on my credit card statement.,Fraud
CMP00271,The interest rate applied to my loan is incorrect.,Billing Error
CMP00272,My credit card application was rejected without any reason.,Loan Issue
CMP00273,Loan approval is delayed despite submitting all required documents.,Loan Issue
CMP00274,Suspicious transactions appeared on my credit card statement.,Account Issue
CMP00275,Haven't received my refund after 30 days of waiting.,Technical Issue
CMP00276,"I need to change my mailing address, but your online form isn't working.",Billing Error
CMP00277,The interest rate applied to my loan is incorrect.,Billing Error
CMP00278,Unauthorized withdrawals from my savings account.,Account Issue
CMP00279,Unauthorized withdrawals from my savings account.,Loan Issue
CMP00280,I was charged twice for the same transaction.,Billing Error
CMP00281,Haven't received my refund after 30 days of waiting.,Technical Issue
CMP00282,I was charged twice for the same transaction.,Billing Error
CMP00283,Loan approval is delayed despite submitting all required documents.,Technical Issue
CMP00284,Suspicious transactions appeared on my credit card statement.,Billing Error
CMP00285,Loan approval is delayed despite submitting all required documents.,Fraud
CMP00286,My credit card application was rejected without any reason.,Technical Issue
CMP00287,"I need to change my mailing address, but your online form isn't working.",Technical Issue
CMP00288,Haven't received my refund after 30 days of waiting.,Fraud
CMP00289,"I need to change my mailing address, but your online form isn't working.",Loan Issue
CMP00290,Loan approval is delayed despite submitting all required documents.,Technical Issue
CMP00291,The interest rate applied to my loan is incorrect.,Technical Issue
CMP00292,Suspicious transactions appeared on my credit card statement.,Technical Issue
CMP00293,Haven't received my refund after 30 days of waiting.,Fraud
CMP00294,I was charged twice for the same transaction.,Technical Issue
CMP00295,"I need to change my mailing address, but your online form isn't working.",Billing Error
CMP00296,Suspicious transactions appeared on my credit card statement.,Technical Issue
CMP00297,Suspicious transactions appeared on my credit card statement.,Billing Error
CMP00298,The system keeps showing an error when I try to make a payment.,Billing Error
CMP00299,My credit card application was rejected without any reason.,Technical Issue
CMP00300,Unauthorized withdrawals from my savings account.,Billing Error
CMP00301,The system keeps showing an error when I try to make a payment.,Billing Error
CMP00302,The system keeps showing an error when I try to make a payment.,Loan Issue
CMP00303,"I need to change my mailing address, but your online form isn't working.",Fraud
CMP00304,The system keeps showing an error when I try to make a payment.,Account Issue
CMP00305,The interest rate applied to my loan is incorrect.,Fraud
CMP00306,The interest rate applied to my loan is incorrect.,Billing Error
CMP00307,Haven't received my refund after 30 days of waiting.,Loan Issue
CMP00308,My credit card application was rejected without any reason.,Billing Error
CMP00309,Loan approval is delayed despite submitting all required documents.,Loan Issue
CMP00310,The system keeps showing an error when I try to make a payment.,Billing Error
CMP00311,The system keeps showing an error when I try to make a payment.,Technical Issue
CMP00312,Haven't received my refund after 30 days of waiting.,Technical Issue
CMP00313,Loan approval is delayed despite submitting all required documents.,Account Issue
CMP00314,Suspicious transactions appeared on my credit card statement.,Technical Issue
CMP00315,Haven't received my refund after 30 days of waiting.,Fraud
CMP00316,I was charged twice for the same transaction.,Fraud
CMP00317,Loan approval is delayed despite submitting all required documents.,Fraud
CMP00318,Haven't received my refund after 30 days of waiting.,Billing Error
CMP00319,My debit card was blocked without notification.,Account Issue
CMP00320,Suspicious transactions appeared on my credit card statement.,Technical Issue
CMP00321,The system keeps showing an error when I try to make a payment.,Fraud
CMP00322,I was charged twice for the same transaction.,Billing Error
CMP00323,The interest rate applied to my loan is incorrect.,Billing Error
CMP00324,My debit card was blocked without notification.,Technical Issue
CMP00325,The interest rate applied to my loan is incorrect.,Technical Issue
CMP00326,Suspicious transactions appeared on my credit card statement.,Fraud
CMP00327,Suspicious transactions appeared on my credit card statement.,Loan Issue
CMP00328,The system keeps showing an error when I try to make a payment.,Account Issue
CMP00329,Unauthorized withdrawals from my savings account.,Billing Error
CMP00330,I was charged twice for the same transaction.,Fraud
CMP00331,Haven't received my refund after 30 days of waiting.,Technical Issue
CMP00332,Unauthorized withdrawals from my savings account.,Loan Issue
CMP00333,"I need to change my mailing address, but your online form isn't working.",Account Issue
CMP00334,The interest rate applied to my loan is incorrect.,Technical Issue
CMP00335,Suspicious transactions appeared on my credit card statement.,Account Issue
CMP00336,The system keeps showing an error when I try to make a payment.,Account Issue
CMP00337,Unauthorized withdrawals from my savings account.,Technical Issue
CMP00338,Suspicious transactions appeared on my credit card statement.,Billing Error
CMP00339,The system keeps showing an error when I try to make a payment.,Loan Issue
CMP00340,Haven't received my refund after 30 days of waiting.,Account Issue
CMP00341,My credit card application was rejected without any reason.,Billing Error
CMP00342,Haven't received my refund after 30 days of waiting.,Billing Error
CMP00343,I was charged twice for the same transaction.,Billing Error
CMP00344,Loan approval is delayed despite submitting all required documents.,Billing Error
CMP00345,My credit card application was rejected without any reason.,Billing Error
CMP00346,My credit card application was rejected without any reason.,Loan Issue
CMP00347,The interest rate applied to my loan is incorrect.,Account Issue
CMP00348,The interest rate applied to my loan is incorrect.,Technical Issue
CMP00349,My debit card was blocked without notification.,Loan Issue
CMP00350,My credit card application was rejected without any reason.,Technical Issue
CMP00351,The system keeps showing an error when I try to make a payment.,Account Issue
CMP00352,The interest rate applied to my loan is incorrect.,Loan Issue
CMP00353,Unauthorized withdrawals from my savings account.,Fraud
CMP00354,Loan approval is delayed despite submitting all required documents.,Loan Issue
CMP00355,Suspicious transactions appeared on my credit card statement.,Account Issue
CMP00356,Loan approval is delayed despite submitting all required documents.,Loan Issue
CMP00357,Suspicious transactions appeared on my credit card statement.,Loan Issue
CMP00358,Haven't received my refund after 30 days of waiting.,Fraud
CMP00359,"I need to change my mailing address, but your online form isn't working.",Fraud
CMP00360,Haven't received my refund after 30 days of waiting.,Loan Issue
CMP00361,The interest rate applied to my loan is incorrect.,Loan Issue
CMP00362,My credit card application was rejected without any reason.,Billing Error
CMP00363,My credit card application was rejected without any reason.,Loan Issue
CMP00364,Loan approval is delayed despite submitting all required documents.,Billing Error
CMP00365,Unauthorized withdrawals from my savings account.,Fraud
CMP00366,The system keeps showing an error when I try to make a payment.,Fraud
CMP00367,Loan approval is delayed despite submitting all required documents.,Billing Error
CMP00368,Unauthorized withdrawals from my savings account.,Account Issue
CMP00369,I was charged twice for the same transaction.,Fraud
CMP00370,The interest rate applied to my loan is incorrect.,Fraud
CMP00371,Unauthorized withdrawals from my savings account.,Billing Error
CMP00372,The system keeps showing an error when I try to make a payment.,Technical Issue
CMP00373,The system keeps showing an error when I try to make a payment.,Account Issue
CMP00374,Haven't received my refund after 30 days of waiting.,Technical Issue
CMP00375,The system keeps showing an error when I try to make a payment.,Fraud
CMP00376,Loan approval is delayed despite submitting all required documents.,Billing Error
CMP00377,Loan approval is delayed despite submitting all required documents.,Technical Issue
CMP00378,My debit card was blocked without notification.,Account Issue
CMP00379,Suspicious transactions appeared on my credit card statement.,Account Issue
CMP00380,Haven't received my refund after 30 days of waiting.,Technical Issue
CMP00381,My credit card application was rejected without any reason.,Fraud
CMP00382,Unauthorized withdrawals from my savings account.,Billing Error
CMP00383,My debit card was blocked without notification.,Account Issue
CMP00384,"I need to change my mailing address, but your online form isn't working.",Loan Issue
CMP00385,The interest rate applied to my loan is incorrect.,Technical Issue
CMP00386,Unauthorized withdrawals from my savings account.,Account Issue
CMP00387,"I need to change my mailing address, but your online form isn't working.",Billing Error
CMP00388,I was charged twice for the same transaction.,Loan Issue
CMP00389,Loan approval is delayed despite submitting all required documents.,Loan Issue
CMP00390,Suspicious transactions appeared on my credit card statement.,Loan Issue
CMP00391,The system keeps showing an error when I try to make a payment.,Fraud
CMP00392,My debit card was blocked without notification.,Technical Issue
CMP00393,Haven't received my refund after 30 days of waiting.,Fraud
CMP00394,The system keeps showing an error when I try to make a payment.,Billing Error
CMP00395,The interest rate applied to my loan is incorrect.,Account Issue
CMP00396,My credit card application was rejected without any reason.,Account Issue
CMP00397,Haven't received my refund after 30 days of waiting.,Account Issue
CMP00398,Loan approval is delayed despite submitting all required documents.,Fraud
CMP00399,Unauthorized withdrawals from my savings account.,Technical Issue
CMP00400,My credit card application was rejected without any reason.,Technical Issue
CMP00401,The system keeps showing an error when I try to make a payment.,Fraud
CMP00402,Haven't received my refund after 30 days of waiting.,Fraud
CMP00403,"I need to change my mailing address, but your online form isn't working.",Account Issue
CMP00404,Loan approval is delayed despite submitting all required documents.,Fraud
CMP00405,The system keeps showing an error when I try to make a payment.,Billing Error
CMP00406,"I need to change my mailing address, but your online form isn't working.",Loan Issue
CMP00407,Unauthorized withdrawals from my savings account.,Billing Error
CMP00408,My credit card application was rejected without any reason.,Account Issue
CMP00409,Haven't received my refund after 30 days of waiting.,Loan Issue
CMP00410,My debit card was blocked without notification.,Technical Issue
CMP00411,The interest rate applied to my loan is incorrect.,Fraud
CMP00412,Loan approval is delayed despite submitting all required documents.,Loan Issue
CMP00413,Haven't received my refund after 30 days of waiting.,Loan Issue
CMP00414,Haven't received my refund after 30 days of waiting.,Fraud
CMP00415,Haven't received my refund after 30 days of waiting.,Account Issue
CMP00416,Unauthorized withdrawals from my savings account.,Billing Error
CMP00417,Unauthorized withdrawals from my savings account.,Technical Issue
CMP00418,Haven't received my refund after 30 days of waiting.,Account Issue
CMP00419,Haven't received my refund after 30 days of waiting.,Account Issue
CMP00420,"I need to change my mailing address, but your online form isn't working.",Billing Error
CMP00421,"I need to change my mailing address, but your online form isn't working.",Account Issue
CMP00422,My debit card was blocked without notification.,Billing Error
CMP00423,The system keeps showing an error when I try to make a payment.,Fraud
CMP00424,Unauthorized withdrawals from my savings account.,Account Issue
CMP00425,The system keeps showing an error when I try to make a payment.,Fraud
CMP00426,Haven't received my refund after 30 days of waiting.,Billing Error
CMP00427,Unauthorized withdrawals from my savings account.,Billing Error
CMP00428,Unauthorized withdrawals from my savings account.,Fraud
CMP00429,Haven't received my refund after 30 days of waiting.,Billing Error
CMP00430,Haven't received my refund after 30 days of waiting.,Fraud
CMP00431,My credit card application was rejected without any reason.,Technical Issue
CMP00432,My credit card application was rejected without any reason.,Technical Issue
CMP00433,My credit card application was rejected without any reason.,Account Issue
CMP00434,"I need to change my mailing address, but your online form isn't working.",Billing Error
CMP00435,I was charged twice for the same transaction.,Account Issue
CMP00436,Suspicious transactions appeared on my credit card statement.,Billing Error
CMP00437,Haven't received my refund after 30 days of waiting.,Account Issue
CMP00438,Loan approval is delayed despite submitting all required documents.,Technical Issue
CMP00439,My debit card was blocked without notification.,Billing Error
CMP00440,The system keeps showing an error when I try to make a payment.,Billing Error
CMP00441,Unauthorized withdrawals from my savings account.,Fraud
CMP00442,My credit card application was rejected without any reason.,Billing Error
CMP00443,"I need to change my mailing address, but your online form isn't working.",Technical Issue
CMP00444,The system keeps showing an error when I try to make a payment.,Technical Issue
CMP00445,Suspicious transactions appeared on my credit card statement.,Loan Issue
CMP00446,Loan approval is delayed despite submitting all required documents.,Billing Error
CMP00447,The system keeps showing an error when I try to make a payment.,Technical Issue
CMP00448,My credit card application was rejected without any reason.,Fraud
CMP00449,Haven't received my refund after 30 days of waiting.,Loan Issue
CMP00450,The system keeps showing an error when I try to make a payment.,Fraud
CMP00451,Loan approval is delayed despite submitting all required documents.,Billing Error
CMP00452,My credit card application was rejected without any reason.,Technical Issue
CMP00453,Loan approval is delayed despite submitting all required documents.,Fraud
CMP00454,My debit card was blocked without notification.,Account Issue
CMP00455,My credit card application was rejected without any reason.,Fraud
CMP00456,My debit card was blocked without notification.,Fraud
CMP00457,The system keeps showing an error when I try to make a payment.,Fraud
CMP00458,The system keeps showing an error when I try to make a payment.,Loan Issue
CMP00459,I was charged twice for the same transaction.,Billing Error
CMP00460,Suspicious transactions appeared on my credit card statement.,Billing Error
CMP00461,I was charged twice for the same transaction.,Loan Issue
CMP00462,Suspicious transactions appeared on my credit card statement.,Fraud
CMP00463,The interest rate applied to my loan is incorrect.,Technical Issue
CMP00464,My credit card application was rejected without any reason.,Loan Issue
CMP00465,Suspicious transactions appeared on my credit card statement.,Billing Error
